open,high,low,close,volume,datetime
191.4975,191.53,191.49,191.51,23833,2023-12-27 16:14:00
191.52,191.53,191.485,191.5,41623,2023-12-27 16:15:00
191.495,191.5,191.44,191.47,79334,2023-12-27 16:16:00
191.48,191.48,191.43,191.48,55992,2023-12-27 16:17:00
191.47,191.48,191.385,191.405,73416,2023-12-27 16:18:00
191.405,191.41,191.38,191.3999,65440,2023-12-27 16:19:00
191.4015,191.4015,191.38,191.395,33227,2023-12-27 16:20:00
191.3932,191.42,191.3701,191.375,79976,2023-12-27 16:21:00
191.3705,191.395,191.36,191.375,37606,2023-12-27 16:22:00
191.37,191.37,191.28,191.285,83160,2023-12-27 16:23:00
191.285,191.3,191.2729,191.285,42591,2023-12-27 16:24:00
191.285,191.29,191.21,191.229,103774,2023-12-27 16:25:00
191.225,191.23,191.12,191.1475,110165,2023-12-27 16:26:00
191.1476,191.17,191.11,191.125,100994,2023-12-27 16:27:00
191.12,191.48,191.09,191.445,250254,2023-12-27 16:28:00
191.45,191.728,191.39,191.6804,343056,2023-12-27 16:29:00
191.68,191.68,191.59,191.671,103055,2023-12-27 16:30:00
191.6789,191.69,191.6,191.6666,171024,2023-12-27 16:31:00
191.665,191.671,191.55,191.585,184091,2023-12-27 16:32:00
191.59,191.66,191.59,191.6282,110660,2023-12-27 16:33:00
191.625,191.655,191.59,191.62,110483,2023-12-27 16:34:00
191.63,191.85,191.62,191.8187,208662,2023-12-27 16:35:00
191.82,191.99,191.7725,191.9501,210036,2023-12-27 16:36:00
191.955,192.0599,191.94,192.01,191966,2023-12-27 16:37:00
192.02,192.03,191.93,191.9799,95492,2023-12-27 16:38:00
191.97,192.0,191.94,191.955,101020,2023-12-27 16:39:00
191.955,191.96,191.84,191.91,190049,2023-12-27 16:40:00
191.915,191.94,191.88,191.915,77985,2023-12-27 16:41:00
191.91,191.92,191.88,191.896,56663,2023-12-27 16:42:00
191.9,191.99,191.89,191.9855,133630,2023-12-27 16:43:00
191.99,191.99,191.928,191.97,70988,2023-12-27 16:44:00
191.97,191.97,191.95,191.96,32958,2023-12-27 16:45:00
191.96,192.07,191.96,192.065,69538,2023-12-27 16:46:00
